route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,on_time_percent,data_source
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0,
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0,
P76,P76,P76 - LINCOLN HIGHWAY FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.6815,
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2020-05-01,202005,SAT.,0,
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2020-05-01,202005,SUN.,0,
P78,P78,P78 - OAKMONT FLYER,East Liberty,Bus,2020-05-01,202005,WEEKDAY,0.7195,
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2020-05-01,202005,SAT.,0.9361,
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2020-05-01,202005,SUN.,0.9465,
RED,RED,RED - Castle Shannon via Beechview,South Hills Village,Light Rail,2020-05-01,202005,WEEKDAY,0.9287,
SLVR,SLVR,SLVR - Libary via Overbrook,South Hills Village,Light Rail,2020-05-01,202005,SAT.,0.9157,
SLVR,SLVR,SLVR - Libary via Overbrook,South Hills Village,Light Rail,2020-05-01,202005,SUN.,0.9154,
SLVR,SLVR,SLVR - Libary via Overbrook,South Hills Village,Light Rail,2020-05-01,202005,WEEKDAY,0.9336,
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0,
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0,
Y1,Y1,Y1 - LARGE FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.7081,
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0,
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0,
Y45,Y45,Y45 - BALDWIN MANOR FLYER,West Mifflin,Bus,2020-05-01,202005,WEEKDAY,0.7074,
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2020-05-01,202005,SAT.,0.7437,
Y46,Y46,Y46 - ELIZABETH FLYER,West Mifflin,Bus,2020-05-01,202005,SUN.,0.8015,
